562	360	224	272
562	356	224	272
567	359	226	274
573	362	228	277
578	366	230	280
584	370	232	282
589	373	235	285
595	377	237	288
600	380	239	290
606	384	241	293
611	387	243	296
617	391	246	298
591	362	228	277
593	362	228	277
596	363	228	277
598	363	229	278
601	364	229	278
604	364	229	279
606	365	230	279
609	365	230	280
612	366	230	280
614	367	231	281
617	367	231	281
609	350	219	266
611	350	219	266
613	349	218	265
615	349	218	265
617	348	217	264
619	348	217	264
621	347	217	263
623	347	216	263
625	346	216	262
627	346	215	262
629	345	215	261
528	354	228	277
529	353	227	276
526	353	227	276
522	353	228	277
518	353	228	277
514	353	228	278
510	353	229	278
507	353	229	278
503	353	229	279
499	353	230	279
495	353	230	279
541	338	219	266
537	337	219	266
536	337	218	265
535	336	218	265
533	335	218	265
532	334	217	264
531	333	217	264
530	332	217	263
529	331	216	263
528	331	216	263
527	330	216	262
515	329	219	266
513	328	218	265
512	327	218	265
510	326	218	265
508	325	218	264
507	324	217	264
505	323	217	264
503	322	217	264
501	321	217	264
500	321	217	263
498	320	217	263
574	351	211	256
572	350	210	255
574	350	210	255
577	351	209	254
579	352	209	253
582	353	208	253
585	354	208	252
587	355	207	252
590	356	207	251
592	357	206	250
595	357	206	250
569	351	211	256
571	351	210	255
572	352	210	255
573	352	210	254
574	353	209	254
575	353	209	254
576	354	209	254
577	354	209	253
578	354	209	253
579	355	208	253
580	355	208	252
526	337	206	251
526	337	205	250
524	336	205	250
522	336	205	250
520	335	204	249
518	334	204	249
516	334	204	248
514	333	203	248
512	333	203	248
510	332	203	247
508	331	202	247
629	356	211	256
626	355	210	255
631	356	210	255
636	356	210	255
641	357	211	256
645	358	211	256
650	359	211	256
655	359	211	256
659	360	211	256
664	361	211	256
669	362	211	256
616	372	219	266
620	372	219	266
622	374	219	266
623	375	220	267
625	376	220	268
626	377	221	268
628	379	221	269
629	380	222	269
631	381	222	270
632	382	223	271
634	384	223	271
643	367	228	277
644	368	228	277
646	368	229	278
648	368	229	279
650	368	230	280
652	369	231	281
654	369	232	282
655	369	232	282
657	369	233	283
659	370	234	284
661	370	235	285
594	376	228	277
595	376	228	277
593	376	229	278
592	377	229	278
590	377	229	278
588	378	229	279
586	378	230	279
584	379	230	280
582	379	230	280
580	380	231	280
578	381	231	281
556	379	223	271
554	379	223	271
550	379	223	271
547	380	222	270
544	380	222	270
541	381	222	270
